227, 17, 244, 12
202, 23, 251, 24
222, 25, 221, 32
180, 36, 234, 50
203, 56, 198, 43
169, 58, 203, 70
167, 69, 174, 90
139, 92, 174, 95
128, 99, 169, 104
140, 112, 125, 123
109, 135, 128, 128
84, 131, 130, 155
84, 155, 103, 158
91, 135, 96, 178
72, 151, 87, 190
58, 192, 83, 167
65, 182, 72, 181
60, 169, 81, 190
70, 170, 78, 182
71, 173, 76, 180
74, 170, 63, 193
79, 190, 65, 166
71, 160, 76, 193
61, 171, 74, 194
76, 153, 80, 191
88, 163, 79, 170
74, 175, 63, 188
70, 146, 88, 196
84, 159, 68, 189
74, 167, 62, 197
68, 179, 59, 194
77, 171, 56, 196
87, 168, 62, 183
77, 167, 71, 185
82, 171, 76, 171
96, 155, 80, 169
107, 140, 66, 187
121, 139, 81, 159
137, 146, 74, 143
140, 151, 84, 125
163, 124, 97, 116
176, 118, 83, 123
236, 88, 91, 85
236, 73, 126, 65
250, 62, 132, 56
284, 42, 128, 46
270, 19, 180, 31
315, 14, 153, 18
310, 12, 161, 17
326, 5, 157, 12
302, 6, 180, 12
314, 3, 173, 10
330, 1, 164, 5
320, 1, 174, 5
302, 1, 191, 6
321, 2, 172, 5
312, 1, 180, 7
301, 3, 189, 7
321, 0, 174, 5
315, 0, 177, 8
314, 4, 176, 6
301, 5, 183, 11
310, 3, 177, 10
315, 4, 171, 10
306, 4, 168, 22
298, 3, 180, 19
303, 5, 168, 24
325, 10, 146, 19
297, 14, 166, 23
300, 12, 154, 34
287, 11, 173, 29
294, 11, 153, 42
313, 20, 133, 34
302, 18, 146, 34
274, 22, 165, 39
292, 21, 147, 40
273, 23, 163, 41
267, 15, 169, 49
232, 18, 193, 57
181, 36, 209, 74
129, 44, 235, 92
100, 48, 229, 123
55, 78, 190, 177
32, 83, 128, 257
26, 117, 93, 264
16, 109, 49, 326
12, 115, 26, 347
2, 124, 19, 355
5, 116, 10, 369
1, 122, 7, 370
0, 118, 7, 375
0, 136, 5, 359
0, 137, 5, 358
0, 142, 1, 357
1, 143, 2, 354
0, 135, 2, 363
1, 136, 5, 358
2, 130, 1, 367
0, 124, 5, 371
2, 130, 4, 364
0, 132, 1, 367
0, 121, 3, 376
2, 129, 1, 368
0, 137, 1, 362
0, 132, 1, 367
0, 106, 1, 393
0, 129, 1, 370
0, 147, 1, 352
0, 127, 1, 372
1, 115, 1, 383
0, 133, 0, 367
0, 129, 0, 371
1, 126, 1, 372
0, 119, 1, 380
0, 127, 0, 373
0, 139, 0, 361
0, 162, 0, 338
0, 151, 1, 348
0, 194, 0, 306
0, 220, 0, 280
0, 241, 1, 258
1, 260, 0, 239
2, 302, 3, 193
8, 302, 4, 186
7, 288, 12, 193
17, 305, 17, 161
36, 263, 41, 160
70, 232, 55, 143
103, 210, 108, 79
141, 178, 116, 65
165, 106, 182, 47
226, 63, 182, 29
248, 47, 189, 16
274, 27, 191, 8
281, 27, 187, 5
284, 10, 200, 6
299, 2, 198, 1
282, 2, 214, 2
296, 1, 202, 1
287, 3, 210, 0
315, 1, 184, 0
301, 0, 199, 0
328, 0, 172, 0
313, 0, 187, 0
292, 0, 208, 0
313, 0, 187, 0
311, 0, 189, 0
302, 0, 198, 0
308, 0, 192, 0
313, 0, 187, 0
305, 0, 195, 0
312, 0, 188, 0
316, 0, 184, 0
306, 0, 194, 0
277, 0, 223, 0
312, 0, 188, 0
300, 0, 200, 0
272, 0, 228, 0
254, 0, 246, 0
236, 0, 264, 0
188, 0, 312, 0
175, 0, 325, 0
177, 0, 323, 0
159, 0, 341, 0
159, 0, 341, 0
171, 0, 329, 0
154, 4, 332, 10
159, 15, 293, 33
137, 43, 241, 79
88, 70, 176, 166
63, 101, 130, 206
46, 113, 55, 286
18, 129, 27, 326
15, 159, 5, 321
1, 162, 3, 334
2, 156, 3, 339
1, 168, 0, 331
0, 157, 1, 342
0, 159, 0, 341
0, 159, 0, 341
0, 149, 0, 351
0, 170, 0, 330
0, 157, 0, 343
0, 158, 0, 342
0, 148, 0, 352
0, 156, 0, 344
0, 166, 0, 334
0, 156, 0, 344
0, 167, 0, 333
0, 152, 0, 348
0, 160, 0, 340
0, 162, 0, 338
0, 156, 0, 344
0, 162, 0, 338
0, 155, 0, 345
0, 185, 0, 315
0, 171, 0, 329
0, 153, 0, 347
0, 159, 0, 341
